©D	名称	触发类别	触发条件	加成类型	属性提升额度	机缘描述
983	灵魂国度	1	14#234#459	4	30	与夏洛特·玲玲齐上阵，意志增加30%
984	最强体术	2	24#1024	2	30	装备降魔之相奥义，攻击增加30%
985	仇恨深重	1	26#266#331	1	36	与克洛克达尔齐上阵，血量提升36%。
986	伙伴约定	1	41#210#253#449#514	2	25	与路飞齐上阵，攻击提升25%。
987	呆萌可爱	1	63#214#260#450	1	34	与乔巴齐上阵，血量提升34%。
988	草帽之花	1	65#211#259#324	2	30	与娜美齐上阵，攻击提升30%。
989	骑士守护 	1	59#213#257#322	1	28	与)上阵，血量提升28%。
990	勇敢的心	3	184#185#186#249#385#467	2	30	装备神恩，攻击提升30%。
991	狼牙棒	3	483#484#485#486#487#488#489#490#491#492#493#494#495#496#497	2	32	装备雷鸣狼牙棒，攻击提升32%。
992	不灭梦魇	1	13#235#301#939	2	30	与凯多齐上阵，攻击提升30%。
993	深不可测	1	7#241#664	2	34	与香克斯齐上阵，攻击提升34%。
994	时代见证	1	2#230#486#955	2	30	与白胡子齐上阵，攻击提升30%。
995	泯灭神罚 	3	244#245#246#247#383#465	2	28	装备神罚，攻击提升28%。
996	神之庇佑	3	214#215#216#248#384#466	2	30	装备神域，攻击提升30%。   
997	勇敢的心	3	184#185#186#249#385#467	2	30	装备神恩，攻击提升30%。
998	白胡子时代	3	201#228#660	4	30	与罗杰齐上阵，意志提升30%。
999	草帽船长	1	41#210#253#449#514	3	34	与路飞齐上阵,防御提升34%。
1000	草帽船长	1	41#210#253#449#514	1	32	与路飞齐上阵,血量提升32%。
1001	草帽船长	1	41#210#253#449#514	1	32	与路飞齐上阵,血量提升32%。
1002	草帽船长	1	41#210#253#449#514	2	32	与路飞齐上阵,攻击提升32%。
1003	草帽船长	1	41#210#253#449#514	3	32	与路飞齐上阵,防御提升32%。
1004	草帽船长	1	41#210#253#449#514	3	32	与路飞齐上阵,防御提升32%。
1005	草帽船长	1	41#210#253#449#514	3	32	与路飞齐上阵,意志提升32%。	
1006	正义风衣	3	588#589#590#591#592#593#594#595#596#597#598#599#600#601#602	2	32	装备正义风衣,攻击提升32%。
1007	格里芬	3	750#751#752#753#754#755#756#757#758#759#760#761#762#763#764	2	29	装备格里芬,攻击提升29%。
1008	三灾之威	1	518#519#520#521#522#523#959#960	3	32	与烬,奎因齐上阵,防御提升32%。
1009	四皇下属	1	13#235#301#939	3	28	与凯多齐上阵,防御提升28%。
1010	超强防御	3	38#124#187#188#189#311#312#353#354#642#643#644#645#646#647	3	30	装备十字战甲,防御提升30%。
1011	激烈碰撞	1	18#281#491	1	32	与马尔科齐上阵,血量提升32%。
1012	惨遭击败	1	221#246#312#945	1	29	与藤虎齐上阵,血量提升29%。
1013	毛皮强化	1	82#1080	1	30	装备皮毛强化，血量提升30%。
1014	三灾之威	1	515#516#517#521#522#523#958#960	2	32	与杰克,奎因齐上阵,攻击提升32%。
1015	四皇下属	1	13#235#301#939	2	28	与凯多齐上阵,攻击提升25%。
1016	十字剑	3	4#110#226#227#228#307#308#349#350#630#631#632#33#634#635	2	28	装备十字剑,攻击提升25%。
1017	激烈碰撞	1	18#281#491	4	32	与马尔科齐上阵,意志提升32%。
1018	剑客之道	1	53#212#256#477#933	2	25	与索隆齐上阵,攻击提升25%。
1019	同为皇副	1	291#455#508	4	25	与卡二齐上阵,意志提升25%。
1020	三灾之威	1	515#516#517#518#519#520#958#959	3	32	与杰克,烬齐上阵,防御提升27%。
1021	四皇下属	1	13#235#301#939	3	29	与凯多齐上阵,防御提升27%。
1022	复活青炎	2	18#1018	3	30	装备复活青炎，防御提升28%。
1023	毁灭遗迹	1	28#283#493	1	32	与霍金斯齐上阵,血量提升32%。
1024	捕捉四皇	1	14#234#459	1	29	与夏洛特玲玲齐上阵,血量提升29%。
1025	毒药研究	1	295#509#937	3	26	与蕾玖齐上阵,防御提升22%。
1026	满月之狮	2	111#1083	2	35	装备月狮，攻击提升35%。
1027	巴雷特	1	41#210#253#449#514_28#283#493#_31#254#319_20#252#318_33#282#667_21#351#452_37#284#494_29#285#495_36#250#316_32#287#497	2	35	与路飞,基德，基拉，乌尔基，霍金斯，德雷克，阿普，波妮，贝基，罗齐上阵，攻击提升35%。
1028	世界最强	1	2#230#486#955	3	24	与白胡子齐上阵，防御提升24%。
1029	左膀右臂	1	6#240#465	3	24	与雷利齐上阵，防御提升24%。
1030	跨越时代	1	201#228#660	3	25	与罗杰，防御提升25%。
1031	必杀之星	1	64#215#262#451	2	30	与乌索普大神齐上阵，攻击提升30%。
1032	恶魔之相	2	24#1024	2	32	装备降魔之相，攻击提升32%。
1033	杰尔马军团	1	515#516#517#521#522#523#993#994#995	2	38	与伊治、尼治、勇治齐上阵，攻击提升38%。
1034	杰尔马统率	1	515#516#517#521#522#523#996	2	18	与伽治齐上阵，攻击提升18%。
1035	臭弟弟	1	515#516#517#521#522#523#965	1	28	与庆典·香克士齐上阵，生命提升28%。
1036	就是硬刚	1	515#516#517#521#522#523#964	4	22	与庆典·玲玲齐上阵，意志提升22%。
1037	正义风衣	3	588#589#590#591#592#593#594#595#596#597#598#599#600#601#602	2	32	装备正义风衣，攻击提升32%。
1038	勇敢的心	3	184#185#186#249#385#467	3	32	装备神恩，防御提升32%。
1039	杰尔马军团	1	515#516#517#521#522#523#992#994#995	2	38	与伊治、尼治、蕾玖齐上阵，攻击提升38%。
1040	杰尔马统率	1	515#516#517#521#522#523#996	2	18	与伽治齐上阵，攻击提升18%。
1041	围堵山治	1	515#516#517#521#522#523#965	1	28	与庆典·香克士齐上阵，生命提升28%。
1042	就是硬刚	1	515#516#517#521#522#523#964	4	22	与庆典·玲玲齐上阵，意志提升22%。
1043	正义风衣	3	588#589#590#591#592#593#594#595#596#597#598#599#600#601#602	2	32	装备正义风衣，攻击提升32%。
1044	勇敢的心	3	184#185#186#249#385#467	3	32	装备神恩，防御提升32%。
1045	杰尔马军团	1	515#516#517#521#522#523#993#992#995	2	38	与伊治、蕾玖、勇治齐上阵，攻击提升38%。
1046	杰尔马统率	1	515#516#517#521#522#523#996	2	18	与伽治齐上阵，攻击提升18%。
1047	臭弟弟	1	515#516#517#521#522#523#965	1	28	与庆典·香克士齐上阵，生命提升28%。
1048	就是硬刚	1	515#516#517#521#522#523#964	4	22	与庆典·玲玲齐上阵，意志提升22%。
1049	正义风衣	3	588#589#590#591#592#593#594#595#596#597#598#599#600#601#602	2	32	装备正义风衣，攻击提升32%。
1050	勇敢的心	3	184#185#186#249#385#467	3	32	装备神恩，防御提升32%。
1051	杰尔马军团	1	515#516#517#521#522#523#993#994#992	2	38	与蕾玖、尼治、勇治齐上阵，攻击提升38%。
1052	杰尔马统率	1	515#516#517#521#522#523#996	2	18	与伽治齐上阵，攻击提升18%。
1053	臭弟弟	1	515#516#517#521#522#523#965	1	28	与庆典·香克士齐上阵，生命提升28%。
1054	就是硬刚	1	515#516#517#521#522#523#964	4	22	与庆典·玲玲齐上阵，意志提升22%。
1055	正义风衣	3	588#589#590#591#592#593#594#595#596#597#598#599#600#601#602	2	32	装备正义风衣，攻击提升32%。
1056	勇敢的心	3	184#185#186#249#385#467	3	32	装备神恩，防御提升32%。
1057	父之疼爱	1	515#516#517#521#522#523#965	3	32	与庆典·香克士上阵,生命提升32%。
1058	正义风衣	3	588#589#590#591#592#593#594#595#596#597#598#599#600#601#602	2	32	装备正义风衣，攻击提升32%。
1059	杰尔马军团	1	515#516#517#521#522#523#993#994#992#977	2	38	与蕾玖、尼治、勇治齐上阵，攻击提升38%。
1060	科学合作	1	515#516#517#521#522#523#993#994#992#977	4	25	与疫灾·奎因上阵，意志提升25%。
1061	城堡大国	1	919#288#32#1288	3	28	与贝基上阵，防御提升28%。
1062	勇敢的心	3	184#185#186#249#385#467	3	32	装备神恩，防御提升32%。
1063	老相好	1	951#962	4	32	与阉魔·索隆齐上阵，意志提升32%。
1064	长期压迫	1	997	3	32	与黑碳大蛇上阵，防御提升32%。
1065	光月家族	1	975#973#972	2	40	与光月·御田、光月·桃之助、光月·时上阵，攻击提升40%。
1066	家臣相救	1	996	3	30	与赤鞘九侠·河松上阵，防御提升30%。
1067	花魁	3	1888	3	30	装备孔雀和服，防御提升30%。
1068	和国第一美	3	1889	2	20	装备和国木屐鞋，攻击提升20%。
1069	誓死报仇	1	998#835#13#930	2	38	与凯多、黑碳大蛇上阵，攻击提升38%。
1070	无脸见父亲	1	999	3	25	与光月·寿喜烧上阵，意志提升25%。
1071	最终目的	1	952#961#960#803#830#228#230#201#1228#1230	2	44	与白胡子、罗杰上阵，攻击提升44%。
1072	夫妻恩爱	1	972	3	33	与光月·时上阵，防御提升33%。
1073	阉魔	3	387#388#389#390#391#392#393#394#395#396	2	35	装备阎魔,攻击增加35%。
1074	天羽羽斩	3	1890	2	35	装备天羽羽斩,攻击增加35%。
1075	反叛	1	835#13#930	3	38	与凯多上阵，防御提升38%。
1076	我要上船	1	41#210#253#449#514	1	32	与路飞齐上阵,血量提升32%。
1077	狼牙棒	3	483#484#485#486#487#488#489#490#491#492#493#494#495#496#497	2	32	装备雷鸣狼牙棒，攻击提升32%。
1078	幻兽进化	2	23#1023	2	51	装备幻兽进化技能，攻击提升51%。
1079	超强防御	3	38#124#187#188#189#311#312#353#354#642#643#644#645#646#647	3	30	装备十字战甲,防御提升30%。
1080	海楼石扣	3	1891	3	30	装备海楼石扣环,防御提升30%。
