ID	名称	类型	品质	装备说明	初始值	升级成长值	Icom图片路径	海报图片路径	名字图片路径	orderId	套装
661	海·统治者披风(特典)	2	5	经上古海王结晶熔炼而成的统治者披风，穿戴2件以上海王套装将触发海王套装效果。	896	85.6	equipposter/poster_clothes_tongzhizhepifeng.png	equipposter/poster_clothes_tongzhizhepifeng.png	equiptex/tex_clothes_tongzhizhepifeng.png	387	3,4
662	冥·统治者披风(特典)	2	5	经上古冥王结晶熔炼而成的统治者披风，穿戴2件以上冥王套装将触发冥王套装效果。	896	85.6	equipposter/poster_clothes_tongzhizhepifeng.png	equipposter/poster_clothes_tongzhizhepifeng.png	equiptex/tex_clothes_tongzhizhepifeng.png	388	5,6

663	天·统治者披风(典藏)	2	5	经上古天王结晶熔炼而成的统治者披风，穿戴2件以上天王套装将触发天王套装效果。	1344	128.4	equipposter/poster_clothes_tongzhizhepifeng.png	equipposter/poster_clothes_tongzhizhepifeng.png	equiptex/tex_clothes_tongzhizhepifeng.png	386	1,2
664	海·统治者披风(典藏)	2	5	经上古海王结晶熔炼而成的统治者披风，穿戴2件以上海王套装将触发海王套装效果。	1344	128.4	equipposter/poster_clothes_tongzhizhepifeng.png	equipposter/poster_clothes_tongzhizhepifeng.png	equiptex/tex_clothes_tongzhizhepifeng.png	387	3,4
665	冥·统治者披风(典藏)	2	5	经上古冥王结晶熔炼而成的统治者披风，穿戴2件以上冥王套装将触发冥王套装效果。	1344	128.4	equipposter/poster_clothes_tongzhizhepifeng.png	equipposter/poster_clothes_tongzhizhepifeng.png	equiptex/tex_clothes_tongzhizhepifeng.png	388	5,6

666	天·玫瑰战甲(特典)	2	5	经上古天王结晶熔炼而成的玫瑰战甲，穿戴2件以上天王套装将触发天王套装效果。	900	85.6	equipposter/poster_clothes_meiguizhanjia.png	equipposter/poster_clothes_meiguizhanjia.png	equiptex/tex_clothes_meiguizhanjia.png	386	1,2
667	海·玫瑰战甲(特典)	2	5	经上古海王结晶熔炼而成的玫瑰战甲，穿戴2件以上海王套装将触发海王套装效果。	900	85.6	equipposter/poster_clothes_meiguizhanjia.png	equipposter/poster_clothes_meiguizhanjia.png	equiptex/tex_clothes_meiguizhanjia.png	387	3,4
668	冥·玫瑰战甲(特典)	2	5	经上古冥王结晶熔炼而成的玫瑰战甲，穿戴2件以上冥王套装将触发冥王套装效果。	900	85.6	equipposter/poster_clothes_meiguizhanjia.png	equipposter/poster_clothes_meiguizhanjia.png	equiptex/tex_clothes_meiguizhanjia.png	388	5,6

669	天·玫瑰战甲(典藏)	2	5	经上古天王结晶熔炼而成的玫瑰战甲，穿戴2件以上天王套装将触发天王套装效果。	1350	128.4	equipposter/poster_clothes_meiguizhanjia.png	equipposter/poster_clothes_meiguizhanjia.png	equiptex/tex_clothes_meiguizhanjia.png	386	1,2
670	海·玫瑰战甲(典藏)	2	5	经上古海王结晶熔炼而成的玫瑰战甲，穿戴2件以上海王套装将触发海王套装效果。	1350	128.4	equipposter/poster_clothes_meiguizhanjia.png	equipposter/poster_clothes_meiguizhanjia.png	equiptex/tex_clothes_meiguizhanjia.png	387	3,4
671	冥·玫瑰战甲(典藏)	2	5	经上古冥王结晶熔炼而成的玫瑰战甲，穿戴2件以上冥王套装将触发冥王套装效果。	1350	128.4	equipposter/poster_clothes_meiguizhanjia.png	equipposter/poster_clothes_meiguizhanjia.png	equiptex/tex_clothes_meiguizhanjia.png	388	5,6

672	天·命运流火(特典)	3	5	经上古天王结晶熔炼而成的命运流火，穿戴2件以上天王套装将触发天王套装效果。	1480	133.8	equipposter/poster_jewelry_mingyunliuhuo.png	equipposter/poster_jewelry_mingyunliuhuo.png	equiptex/tex_jewelry_mingyunliuhuo.png		386	1,2
673	海·命运流火(特典)	3	5	经上古海王结晶熔炼而成的命运流火，穿戴2件以上海王套装将触发海王套装效果。	1480	133.8	equipposter/poster_jewelry_mingyunliuhuo.png	equipposter/poster_jewelry_mingyunliuhuo.png	equiptex/tex_jewelry_mingyunliuhuo.png		387	3,4
674	冥·命运流火(特典)	3	5	经上古冥王结晶熔炼而成的命运流火，穿戴2件以上冥王套装将触发冥王套装效果。	1480	133.8	equipposter/poster_jewelry_mingyunliuhuo.png	equipposter/poster_jewelry_mingyunliuhuo.png	equiptex/tex_jewelry_mingyunliuhuo.png		388	5,6

675	天·命运流火(典藏)	3	5	经上古天王结晶熔炼而成的命运流火，穿戴2件以上天王套装将触发天王套装效果。	2220	200.1	equipposter/poster_jewelry_mingyunliuhuo.png	equipposter/poster_jewelry_mingyunliuhuo.png	equiptex/tex_jewelry_mingyunliuhuo.png		386	1,2
676	海·命运流火(典藏)	3	5	经上古海王结晶熔炼而成的命运流火，穿戴2件以上海王套装将触发海王套装效果。	2220	200.1	equipposter/poster_jewelry_mingyunliuhuo.png	equipposter/poster_jewelry_mingyunliuhuo.png	equiptex/tex_jewelry_mingyunliuhuo.png		387	3,4
677	冥·命运流火(典藏)	3	5	经上古冥王结晶熔炼而成的命运流火，穿戴2件以上冥王套装将触发冥王套装效果。	2220	200.1	equipposter/poster_jewelry_mingyunliuhuo.png	equipposter/poster_jewelry_mingyunliuhuo.png	equiptex/tex_jewelry_mingyunliuhuo.png		388	5,6

678	天·死亡诱惑(特典)	3	5	经上古天王结晶熔炼而成的死亡诱惑，穿戴2件以上天王套装将触发天王套装效果。	1450	127.6	equipposter/poster_jewelry_siwangyouhuo.png	equipposter/poster_jewelry_siwangyouhuo.png	equiptex/tex_jewelry_siwangyouhuo.png	386	1,2
679	海·死亡诱惑(特典)	3	5	经上古海王结晶熔炼而成的死亡诱惑，穿戴2件以上海王套装将触发海王套装效果。	1450	127.6	equipposter/poster_jewelry_siwangyouhuo.png	equipposter/poster_jewelry_siwangyouhuo.png	equiptex/tex_jewelry_siwangyouhuo.png	387	3,4
680	冥·死亡诱惑(特典)	3	5	经上古冥王结晶熔炼而成的死亡诱惑，穿戴2件以上冥王套装将触发冥王套装效果。	1450	127.6	equipposter/poster_jewelry_siwangyouhuo.png	equipposter/poster_jewelry_siwangyouhuo.png	equiptex/tex_jewelry_siwangyouhuo.png	388	5,6

681	天·死亡诱惑(典藏)	3	5	经上古天王结晶熔炼而成的死亡诱惑，穿戴2件以上天王套装将触发天王套装效果。	2175	191.4	equipposter/poster_jewelry_siwangyouhuo.png	equipposter/poster_jewelry_siwangyouhuo.png	equiptex/tex_jewelry_siwangyouhuo.png	386	1,2
682	海·死亡诱惑(典藏)	3	5	经上古海王结晶熔炼而成的死亡诱惑，穿戴2件以上海王套装将触发海王套装效果。	2175	191.4	equipposter/poster_jewelry_siwangyouhuo.png	equipposter/poster_jewelry_siwangyouhuo.png	equiptex/tex_jewelry_siwangyouhuo.png	387	3,4
683	冥·死亡诱惑(典藏)	3	5	经上古冥王结晶熔炼而成的死亡诱惑，穿戴2件以上冥王套装将触发冥王套装效果。	2175	191.4	equipposter/poster_jewelry_siwangyouhuo.png	equipposter/poster_jewelry_siwangyouhuo.png	equiptex/tex_jewelry_siwangyouhuo.png	388	5,6

684	天·十字挂饰(特典)	3	5	经上古天王结晶熔炼而成的十字挂饰，穿戴2件以上天王套装将触发天王套装效果。	1420	126.8	equipposter/poster_jewelry_shiziguashi.png	equipposter/poster_jewelry_shiziguashi.png	equiptex/tex_jewelry_shiziguashi.png	386	1,2
685	海·十字挂饰(特典)	3	5	经上古海王结晶熔炼而成的十字挂饰，穿戴2件以上海王套装将触发海王套装效果。	1420	126.8	equipposter/poster_jewelry_shiziguashi.png	equipposter/poster_jewelry_shiziguashi.png	equiptex/tex_jewelry_shiziguashi.png	387	3,4
686	冥·十字挂饰(特典)	3	5	经上古冥王结晶熔炼而成的十字挂饰，穿戴2件以上冥王套装将触发冥王套装效果。	1420	126.8	equipposter/poster_jewelry_shiziguashi.png	equipposter/poster_jewelry_shiziguashi.png	equiptex/tex_jewelry_shiziguashi.png	388	5,6

687	天·十字挂饰(典藏)	3	5	经上古天王结晶熔炼而成的十字挂饰，穿戴2件以上天王套装将触发天王套装效果。	2130	190.2	equipposter/poster_jewelry_shiziguashi.png	equipposter/poster_jewelry_shiziguashi.png	equiptex/tex_jewelry_shiziguashi.png	386	1,2
688	海·十字挂饰(典藏)	3	5	经上古海王结晶熔炼而成的十字挂饰，穿戴2件以上海王套装将触发海王套装效果。	2130	190.2	equipposter/poster_jewelry_shiziguashi.png	equipposter/poster_jewelry_shiziguashi.png	equiptex/tex_jewelry_shiziguashi.png	387	3,4
689	冥·十字挂饰(典藏)	3	5	经上古冥王结晶熔炼而成的十字挂饰，穿戴2件以上冥王套装将触发冥王套装效果。	2130	190.2	equipposter/poster_jewelry_shiziguashi.png	equipposter/poster_jewelry_shiziguashi.png	equiptex/tex_jewelry_shiziguashi.png	388	5,6

690	天·深海之眼(特典)	3	5	经上古天王结晶熔炼而成的深海之眼，穿戴2件以上天王套装将触发天王套装效果。	1400	126.6	equipposter/poster_jewelry_shenhaizhiyan.png	equipposter/poster_jewelry_shenhaizhiyan.png	equiptex/tex_jewelry_shenhaizhiyan.png	386	1,2
691	海·深海之眼(特典)	3	5	经上古海王结晶熔炼而成的深海之眼，穿戴2件以上海王套装将触发海王套装效果。	1400	126.6	equipposter/poster_jewelry_shenhaizhiyan.png	equipposter/poster_jewelry_shenhaizhiyan.png	equiptex/tex_jewelry_shenhaizhiyan.png	387	3,4
692	冥·深海之眼(特典)	3	5	经上古冥王结晶熔炼而成的深海之眼，穿戴2件以上冥王套装将触发冥王套装效果。	1400	126.6	equipposter/poster_jewelry_shenhaizhiyan.png	equipposter/poster_jewelry_shenhaizhiyan.png	equiptex/tex_jewelry_shenhaizhiyan.png	388	5,6

693	天·深海之眼(典藏)	3	5	经上古天王结晶熔炼而成的深海之眼，穿戴2件以上天王套装将触发天王套装效果。	2100	189.9	equipposter/poster_jewelry_shenhaizhiyan.png	equipposter/poster_jewelry_shenhaizhiyan.png	equiptex/tex_jewelry_shenhaizhiyan.png	386	1,2
694	海·深海之眼(典藏)	3	5	经上古海王结晶熔炼而成的深海之眼，穿戴2件以上海王套装将触发海王套装效果。	2100	189.9	equipposter/poster_jewelry_shenhaizhiyan.png	equipposter/poster_jewelry_shenhaizhiyan.png	equiptex/tex_jewelry_shenhaizhiyan.png	387	3,4
695	冥·深海之眼(典藏)	3	5	经上古冥王结晶熔炼而成的深海之眼，穿戴2件以上冥王套装将触发冥王套装效果。	2100	189.9	equipposter/poster_jewelry_shenhaizhiyan.png	equipposter/poster_jewelry_shenhaizhiyan.png	equiptex/tex_jewelry_shenhaizhiyan.png	388	5,6

696	天·诱惑之瞳(特典)	3	5	经上古天王结晶熔炼而成的诱惑之瞳，穿戴2件以上天王套装将触发天王套装效果。	1380	125.6	equipposter/poster_jewelry_youhuozhitong.png	equipposter/poster_jewelry_youhuozhitong.png	equiptex/tex_jewelry_youhuozhitong.png	386	1,2
697	海·诱惑之瞳(特典)	3	5	经上古海王结晶熔炼而成的诱惑之瞳，穿戴2件以上海王套装将触发海王套装效果。	1380	125.6	equipposter/poster_jewelry_youhuozhitong.png	equipposter/poster_jewelry_youhuozhitong.png	equiptex/tex_jewelry_youhuozhitong.png	387	3,4
698	冥·诱惑之瞳(特典)	3	5	经上古冥王结晶熔炼而成的诱惑之瞳，穿戴2件以上冥王套装将触发冥王套装效果。	1380	125.6	equipposter/poster_jewelry_youhuozhitong.png	equipposter/poster_jewelry_youhuozhitong.png	equiptex/tex_jewelry_youhuozhitong.png	388	5,6

699	天·诱惑之瞳(典藏)	3	5	经上古天王结晶熔炼而成的诱惑之瞳，穿戴2件以上天王套装将触发天王套装效果。	2070	188.4	equipposter/poster_jewelry_youhuozhitong.png	equipposter/poster_jewelry_youhuozhitong.png	equiptex/tex_jewelry_youhuozhitong.png	386	1,2
700	海·诱惑之瞳(典藏)	3	5	经上古海王结晶熔炼而成的诱惑之瞳，穿戴2件以上海王套装将触发海王套装效果。	2070	188.4	equipposter/poster_jewelry_youhuozhitong.png	equipposter/poster_jewelry_youhuozhitong.png	equiptex/tex_jewelry_youhuozhitong.png	387	3,4
701	冥·诱惑之瞳(典藏)	3	5	经上古冥王结晶熔炼而成的诱惑之瞳，穿戴2件以上冥王套装将触发冥王套装效果。	2070	188.4	equipposter/poster_jewelry_youhuozhitong.png	equipposter/poster_jewelry_youhuozhitong.png	equiptex/tex_jewelry_youhuozhitong.png	388	5,6

702	天·霸海(特典)	1	5	经上古天王结晶熔炼而成的霸海，穿戴2件以上天王套装将触发天王套装效果。	1140	101.6	equipposter/poster_weapon_bahai.png	equipposter/poster_weapon_bahai.png	equiptex/tex_weapon_bahai.png	386	1,2
703	海·霸海(特典)	1	5	经上古海王结晶熔炼而成的霸海，穿戴2件以上海王套装将触发海王套装效果。	1140	101.6	equipposter/poster_weapon_bahai.png	equipposter/poster_weapon_bahai.png	equiptex/tex_weapon_bahai.png	387	3,4
704	冥·霸海(特典)	1	5	经上古冥王结晶熔炼而成的霸海，穿戴2件以上冥王套装将触发冥王套装效果。	1140	101.6	equipposter/poster_weapon_bahai.png	equipposter/poster_weapon_bahai.png	equiptex/tex_weapon_bahai.png	388	5,6

705	天·霸海(典藏)	1	5	经上古天王结晶熔炼而成的霸海，穿戴2件以上天王套装将触发天王套装效果。	1710	151.4	equipposter/poster_weapon_bahai.png	equipposter/poster_weapon_bahai.png	equiptex/tex_weapon_bahai.png	386	1,2
706	海·霸海(典藏)	1	5	经上古海王结晶熔炼而成的霸海，穿戴2件以上海王套装将触发海王套装效果。	1710	151.4	equipposter/poster_weapon_bahai.png	equipposter/poster_weapon_bahai.png	equiptex/tex_weapon_bahai.png	387	3,4
707	冥·霸海(典藏)	1	5	经上古冥王结晶熔炼而成的霸海，穿戴2件以上冥王套装将触发冥王套装效果。	1710	151.4	equipposter/poster_weapon_bahai.png	equipposter/poster_weapon_bahai.png	equiptex/tex_weapon_bahai.png	388	5,6

708	天·海皇三叉戟(特典)	1	5	经上古天王结晶熔炼而成的海皇三叉戟，穿戴2件以上天王套装将触发天王套装效果。	1090	98.4	equipposter/poster_weapon_haihuangsanchaji.png	equipposter/poster_weapon_haihuangsanchaji.png	equiptex/tex_weapon_haihuangsanchaji.png	386	1,2
709	海·海皇三叉戟(特典)	1	5	经上古海王结晶熔炼而成的海皇三叉戟，穿戴2件以上海王套装将触发海王套装效果。	1090	98.4	equipposter/poster_weapon_haihuangsanchaji.png	equipposter/poster_weapon_haihuangsanchaji.png	equiptex/tex_weapon_haihuangsanchaji.png	387	3,4
710	冥·海皇三叉戟(特典)	1	5	经上古冥王结晶熔炼而成的海皇三叉戟，穿戴2件以上冥王套装将触发冥王套装效果。	1090	98.4	equipposter/poster_weapon_haihuangsanchaji.png	equipposter/poster_weapon_haihuangsanchaji.png	equiptex/tex_weapon_haihuangsanchaji.png	388	5,6

711	天·海皇三叉戟(典藏)	1	5	经上古天王结晶熔炼而成的海皇三叉戟，穿戴2件以上天王套装将触发天王套装效果。	1595	147.6	equipposter/poster_weapon_haihuangsanchaji.png	equipposter/poster_weapon_haihuangsanchaji.png	equiptex/tex_weapon_haihuangsanchaji.png	386	1,2
712	海·海皇三叉戟(典藏)	1	5	经上古海王结晶熔炼而成的海皇三叉戟，穿戴2件以上海王套装将触发海王套装效果。	1595	147.6	equipposter/poster_weapon_haihuangsanchaji.png	equipposter/poster_weapon_haihuangsanchaji.png	equiptex/tex_weapon_haihuangsanchaji.png	387	3,4
713	冥·海皇三叉戟(典藏)	1	5	经上古冥王结晶熔炼而成的海皇三叉戟，穿戴2件以上冥王套装将触发冥王套装效果。	1595	147.6	equipposter/poster_weapon_haihuangsanchaji.png	equipposter/poster_weapon_haihuangsanchaji.png	equiptex/tex_weapon_haihuangsanchaji.png	388	5,6

714	天·海神羽织(特典)	2	5	经上古天王结晶熔炼而成的海神羽织，穿戴2件以上天王套装将触发天王套装效果。	914	88.4	equipposter/poster_clothes_haishenyuzhi.png	equipposter/poster_clothes_haishenyuzhi.png	equiptex/tex_clothes_haishenyuzhi.png	386	1,2
715	海·海神羽织(特典)	2	5	经上古海王结晶熔炼而成的海神羽织，穿戴2件以上海王套装将触发海王套装效果。	914	88.4	equipposter/poster_clothes_haishenyuzhi.png	equipposter/poster_clothes_haishenyuzhi.png	equiptex/tex_clothes_haishenyuzhi.png	387	3,4
716	冥·海神羽织(特典)	2	5	经上古冥王结晶熔炼而成的海神羽织，穿戴2件以上冥王套装将触发冥王套装效果。	914	88.4	equipposter/poster_clothes_haishenyuzhi.png	equipposter/poster_clothes_haishenyuzhi.png	equiptex/tex_clothes_haishenyuzhi.png	388	5,6

717	天·海神羽织(典藏)	2	5	经上古天王结晶熔炼而成的海神羽织，穿戴2件以上天王套装将触发天王套装效果。	1371	132.6	equipposter/poster_clothes_haishenyuzhi.png	equipposter/poster_clothes_haishenyuzhi.png	equiptex/tex_clothes_haishenyuzhi.png	386	1,2
718	海·海神羽织(典藏)	2	5	经上古海王结晶熔炼而成的海神羽织，穿戴2件以上海王套装将触发海王套装效果。	1371	132.6	equipposter/poster_clothes_haishenyuzhi.png	equipposter/poster_clothes_haishenyuzhi.png	equiptex/tex_clothes_haishenyuzhi.png	387	3,4
719	冥·海神羽织(典藏)	2	5	经上古冥王结晶熔炼而成的海神羽织，穿戴2件以上冥王套装将触发冥王套装效果。	1371	132.6	equipposter/poster_clothes_haishenyuzhi.png	equipposter/poster_clothes_haishenyuzhi.png	equiptex/tex_clothes_haishenyuzhi.png	388	5,6

720	天·王者战衣(特典)	2	5	经上古天王结晶熔炼而成的王者战衣，穿戴2件以上天王套装将触发天王套装效果。	920	89	equipposter/poster_clothes_wangzhezhanyi.png	equipposter/poster_clothes_wangzhezhanyi.png	equiptex/tex_clothes_wangzhezhanyi.png	386	1,2
721	海·王者战衣(特典)	2	5	经上古海王结晶熔炼而成的王者战衣，穿戴2件以上海王套装将触发海王套装效果。	920	89	equipposter/poster_clothes_wangzhezhanyi.png	equipposter/poster_clothes_wangzhezhanyi.png	equiptex/tex_clothes_wangzhezhanyi.png	387	3,4
722	冥·王者战衣(特典)	2	5	经上古冥王结晶熔炼而成的王者战衣，穿戴2件以上冥王套装将触发冥王套装效果。	920	89	equipposter/poster_clothes_wangzhezhanyi.png	equipposter/poster_clothes_wangzhezhanyi.png	equiptex/tex_clothes_wangzhezhanyi.png	388	5,6

723	天·王者战衣(典藏)	2	5	经上古天王结晶熔炼而成的王者战衣，穿戴2件以上天王套装将触发天王套装效果。	1380	133.5	equipposter/poster_clothes_wangzhezhanyi.png	equipposter/poster_clothes_wangzhezhanyi.png	equiptex/tex_clothes_wangzhezhanyi.png	386	1,2
724	海·王者战衣(典藏)	2	5	经上古海王结晶熔炼而成的王者战衣，穿戴2件以上海王套装将触发海王套装效果。	1380	133.5	equipposter/poster_clothes_wangzhezhanyi.png	equipposter/poster_clothes_wangzhezhanyi.png	equiptex/tex_clothes_wangzhezhanyi.png	387	3,4
725	冥·王者战衣(典藏)	2	5	经上古冥王结晶熔炼而成的王者战衣，穿戴2件以上冥王套装将触发冥王套装效果。	1380	133.5	equipposter/poster_clothes_wangzhezhanyi.png	equipposter/poster_clothes_wangzhezhanyi.png	equiptex/tex_clothes_wangzhezhanyi.png	388	5,6

726	天·海洋之心(特典)	3	5	经上古天王结晶熔炼而成的海洋之心，穿戴2件以上天王套装将触发天王套装效果。	1528	138.2	equipposter/poster_jewelry_haiyangzhixin.png	equipposter/poster_jewelry_haiyangzhixin.png	equiptex/tex_jewelry_haiyangzhixin.png	386	1,2
727	海·海洋之心(特典)	3	5	经上古海王结晶熔炼而成的海洋之心，穿戴2件以上海王套装将触发海王套装效果。	1528	138.2	equipposter/poster_jewelry_haiyangzhixin.png	equipposter/poster_jewelry_haiyangzhixin.png	equiptex/tex_jewelry_haiyangzhixin.png	387	3,4
728	冥·海洋之心(特典)	3	5	经上古冥王结晶熔炼而成的海洋之心，穿戴2件以上冥王套装将触发冥王套装效果。	1528	138.2	equipposter/poster_jewelry_haiyangzhixin.png	equipposter/poster_jewelry_haiyangzhixin.png	equiptex/tex_jewelry_haiyangzhixin.png	388	5,6

729	天·海洋之心(典藏)	3	5	经上古天王结晶熔炼而成的海洋之心，穿戴2件以上天王套装将触发天王套装效果。	2292	207.3	equipposter/poster_jewelry_haiyangzhixin.png	equipposter/poster_jewelry_haiyangzhixin.png	equiptex/tex_jewelry_haiyangzhixin.png	386	1,2
730	海·海洋之心(典藏)	3	5	经上古海王结晶熔炼而成的海洋之心，穿戴2件以上海王套装将触发海王套装效果。	2292	207.3	equipposter/poster_jewelry_haiyangzhixin.png	equipposter/poster_jewelry_haiyangzhixin.png	equiptex/tex_jewelry_haiyangzhixin.png	387	3,4
731	冥·海洋之心(典藏)	3	5	经上古冥王结晶熔炼而成的海洋之心，穿戴2件以上冥王套装将触发冥王套装效果。	2292	207.3	equipposter/poster_jewelry_haiyangzhixin.png	equipposter/poster_jewelry_haiyangzhixin.png	equiptex/tex_jewelry_haiyangzhixin.png	388	5,6

732	天·神罚(特典)	1	5	经上古天王结晶熔炼而成的神罚，穿戴2件以上天王套装将触发天王套装效果。	1440	73.6	equipposter/poster_weapon_shenfa.png	equipposter/poster_weapon_shenfa.png	equipposter/poster_weapon_shenfa.png	57	1,2
733	海·神罚(特典)	1	5	经上古海王结晶熔炼而成的神罚，穿戴2件以上海王套装将触发海王套装效果。	1440	73.6	equipposter/poster_weapon_shenfa.png	equipposter/poster_weapon_shenfa.png	equipposter/poster_weapon_shenfa.png	56	3,4
734	冥·神罚(特典)	1	5	经上古冥王结晶熔炼而成的神罚，穿戴2件以上冥王套装将触发冥王套装效果。	1440	73.6	equipposter/poster_weapon_shenfa.png	equipposter/poster_weapon_shenfa.png	equipposter/poster_weapon_shenfa.png	55	5,6

735	天·神域(特典)	2	5	经上古天王结晶熔炼而成的神域，穿戴2件以上天王套装将触发天王套装效果。	800	100	equipposter/poster_clothes_shenyu.png	equipposter/poster_clothes_shenyu.png	equipposter/poster_clothes_shenyu.png	27	1,2
736	海·神域(特典)	2	5	经上古海王结晶熔炼而成的神域，穿戴2件以上海王套装将触发海王套装效果。	800	100	equipposter/poster_clothes_shenyu.png	equipposter/poster_clothes_shenyu.png	equipposter/poster_clothes_shenyu.png	26	3,4
737	冥·神域(特典)	2	5	经上古冥王结晶熔炼而成的神域，穿戴2件以上冥王套装将触发冥王套装效果。	800	100	equipposter/poster_clothes_shenyu.png	equipposter/poster_clothes_shenyu.png	equipposter/poster_clothes_shenyu.png	25	5,6

738	天·神恩(特典)	3	5	经上古天王结晶熔炼而成的神恩，穿戴2件以上天王套装将触发天王套装效果。	1600	120	equipposter/poster_jewelry_shenen.png	equipposter/poster_jewelry_shenen.png	equiptex/tex_jewelry_shenen.png	3	1,2
739	海·神恩(特典)	3	5	经上古海王结晶熔炼而成的神恩，穿戴2件以上海王套装将触发海王套装效果。	1600	120	equipposter/poster_jewelry_shenen.png	equipposter/poster_jewelry_shenen.png	equiptex/tex_jewelry_shenen.png	2	3,4
740	冥·神恩(特典)	3	5	经上古冥王结晶熔炼而成的神恩，穿戴2件以上冥王套装将触发冥王套装效果。	1600	120	equipposter/poster_jewelry_shenen.png	equipposter/poster_jewelry_shenen.png	equiptex/tex_jewelry_shenen.png	1	5,6

741	天·神罚(典藏)	1	5	经上古天王结晶熔炼而成的神罚，穿戴2件以上天王套装将触发天王套装效果。	2160	110.4	equipposter/poster_weapon_shenfa.png	equipposter/poster_weapon_shenfa.png	equipposter/poster_weapon_shenfa.png	57	1,2
742	海·神罚(典藏)	1	5	经上古海王结晶熔炼而成的神罚，穿戴2件以上海王套装将触发海王套装效果。	2160	110.4	equipposter/poster_weapon_shenfa.png	equipposter/poster_weapon_shenfa.png	equipposter/poster_weapon_shenfa.png	56	3,4
743	冥·神罚(典藏)	1	5	经上古冥王结晶熔炼而成的神罚，穿戴2件以上冥王套装将触发冥王套装效果。	2160	110.4	equipposter/poster_weapon_shenfa.png	equipposter/poster_weapon_shenfa.png	equipposter/poster_weapon_shenfa.png	55	5,6

744	天·神域(典藏)	2	5	经上古天王结晶熔炼而成的神域，穿戴2件以上天王套装将触发天王套装效果。	1200	150	equipposter/poster_clothes_shenyu.png	equipposter/poster_clothes_shenyu.png	equipposter/poster_clothes_shenyu.png	27	1,2
745	海·神域(典藏)	2	5	经上古海王结晶熔炼而成的神域，穿戴2件以上海王套装将触发海王套装效果。	1200	150	equipposter/poster_clothes_shenyu.png	equipposter/poster_clothes_shenyu.png	equipposter/poster_clothes_shenyu.png	26	3,4
746	冥·神域(典藏)	2	5	经上古冥王结晶熔炼而成的神域，穿戴2件以上冥王套装将触发冥王套装效果。	1200	150	equipposter/poster_clothes_shenyu.png	equipposter/poster_clothes_shenyu.png	equipposter/poster_clothes_shenyu.png	25	5,6

747	天·神恩(典藏)	3	5	经上古天王结晶熔炼而成的神恩，穿戴2件以上天王套装将触发天王套装效果。	2400	180	equipposter/poster_jewelry_shenen.png	equipposter/poster_jewelry_shenen.png	equiptex/tex_jewelry_shenen.png	3	1,2
748	海·神恩(典藏)	3	5	经上古海王结晶熔炼而成的神恩，穿戴2件以上海王套装将触发海王套装效果。	2400	180	equipposter/poster_jewelry_shenen.png	equipposter/poster_jewelry_shenen.png	equiptex/tex_jewelry_shenen.png	2	3,4
749	冥·神恩(典藏)	3	5	经上古冥王结晶熔炼而成的神恩，穿戴2件以上冥王套装将触发冥王套装效果。	2400	180	equipposter/poster_jewelry_shenen.png	equipposter/poster_jewelry_shenen.png	equiptex/tex_jewelry_shenen.png	1	5,6

750	格里芬	1	1	四皇红发香克斯的佩剑。	210	16	equipposter/poster_weapon_fengesi.png	equipposter/poster_weapon_fengesi.png	equipposter/poster_weapon_fengesi.png	0	none
751	进化格里芬	1	5	四皇红发香克斯的佩剑，进化后能力更强。	360	31	equipposter/poster_weapon_fengesi.png	equipposter/poster_weapon_fengesi.png	equipposter/poster_weapon_fengesi.png	0	none
752	天·格里芬	1	5	经上古天王结晶熔炼而成的格里芬，穿戴2件以上天王套装将触发天王套装效果。	550	51	equipposter/poster_weapon_fengesi.png	equipposter/poster_weapon_fengesi.png	equiptex/tex_weapon_fengesi.png	386	1,2
753	海·格里芬	1	5	经上古海王结晶熔炼而成的格里芬，穿戴2件以上海王套装将触发海王套装效果。	550	51	equipposter/poster_weapon_fengesi.png	equipposter/poster_weapon_fengesi.png	equiptex/tex_weapon_fengesi.png	387	3,4
754	冥·格里芬	1	5	经上古冥王结晶熔炼而成的格里芬，穿戴2件以上冥王套装将触发冥王套装效果。	550	51	equipposter/poster_weapon_fengesi.png	equipposter/poster_weapon_fengesi.png	equiptex/tex_weapon_fengesi.png	388	5,6
755	格里芬(特典)	1	1	四皇红发香克斯的佩剑。	400	31	equipposter/poster_weapon_fengesi.png	equipposter/poster_weapon_fengesi.png	equipposter/poster_weapon_fengesi.png	0	none
756	进化格里芬(特典)	1	5	四皇红发香克斯的佩剑，进化后能力更强。	700	61	equipposter/poster_weapon_fengesi.png	equipposter/poster_weapon_fengesi.png	equipposter/poster_weapon_fengesi.png	0	none
757	天·格里芬(特典)	1	5	经上古天王结晶熔炼而成的格里芬，穿戴2件以上天王套装将触发天王套装效果。	1100	101	equipposter/poster_weapon_fengesi.png	equipposter/poster_weapon_fengesi.png	equiptex/tex_weapon_fengesi.png	386	1,2
758	海·格里芬(特典)	1	5	经上古海王结晶熔炼而成的格里芬，穿戴2件以上海王套装将触发海王套装效果。	1100	101	equipposter/poster_weapon_fengesi.png	equipposter/poster_weapon_fengesi.png	equiptex/tex_weapon_fengesi.png	387	3,4
